2019-10-06 17:03:10,986 - xplane-remote#init_xp_remote - DEBUG - Start Server.
2019-10-06 17:03:10,991 - xplane-remote#init_xp_remote - DEBUG - Server started.
2019-10-06 17:03:10,992 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': 100, 'bank_angle': 0, 'start_altitude': 1000, 'heading_change': 0}
2019-10-06 17:03:39,610 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': -100, 'bank_angle': 0, 'start_altitude': 1000, 'heading_change': 0}
2019-10-06 17:04:24,275 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': 100, 'bank_angle': 0, 'start_altitude': 1000, 'heading_change': 0}
2019-10-06 17:05:01,254 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': -100, 'bank_angle': 0, 'start_altitude': 1000, 'heading_change': 0}
2019-10-06 17:05:38,134 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': 100, 'bank_angle': 0, 'start_altitude': 1000, 'heading_change': 0}
2019-10-06 17:06:12,704 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': -100, 'bank_angle': 0, 'start_altitude': 1000, 'heading_change': 0}
2019-10-06 17:06:47,054 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': 100, 'bank_angle': 0, 'start_altitude': 2000, 'heading_change': 0}
2019-10-06 17:10:50,644 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': -100, 'bank_angle': 0, 'start_altitude': 2000, 'heading_change': 0}
2019-10-06 17:12:04,458 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': 100, 'bank_angle': 0, 'start_altitude': 2000, 'heading_change': 0}
2019-10-06 17:12:41,561 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': -100, 'bank_angle': 0, 'start_altitude': 2000, 'heading_change': 0}
2019-10-06 17:13:18,454 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': 100, 'bank_angle': 0, 'start_altitude': 2000, 'heading_change': 0}
2019-10-06 17:13:53,140 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': -100, 'bank_angle': 0, 'start_altitude': 2000, 'heading_change': 0}
2019-10-06 17:14:27,596 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': 100, 'bank_angle': 0, 'start_altitude': 3000, 'heading_change': 0}
2019-10-06 17:18:31,191 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': -100, 'bank_angle': 0, 'start_altitude': 3000, 'heading_change': 0}
2019-10-06 17:19:14,237 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': 100, 'bank_angle': 0, 'start_altitude': 3000, 'heading_change': 0}
2019-10-06 17:19:51,277 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': -100, 'bank_angle': 0, 'start_altitude': 3000, 'heading_change': 0}
2019-10-06 17:20:28,212 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': 100, 'bank_angle': 0, 'start_altitude': 3000, 'heading_change': 0}
2019-10-06 17:21:02,872 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': -100, 'bank_angle': 0, 'start_altitude': 3000, 'heading_change': 0}
2019-10-06 17:21:37,387 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': 100, 'bank_angle': 0, 'start_altitude': 4000, 'heading_change': 0}
2019-10-06 17:25:40,948 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': -100, 'bank_angle': 0, 'start_altitude': 4000, 'heading_change': 0}
2019-10-06 17:26:24,127 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': 100, 'bank_angle': 0, 'start_altitude': 4000, 'heading_change': 0}
2019-10-06 17:27:01,245 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': -100, 'bank_angle': 0, 'start_altitude': 4000, 'heading_change': 0}
2019-10-06 17:27:38,246 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': 100, 'bank_angle': 0, 'start_altitude': 4000, 'heading_change': 0}
2019-10-06 17:28:13,003 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': -100, 'bank_angle': 0, 'start_altitude': 4000, 'heading_change': 0}
2019-10-06 17:28:47,617 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': 100, 'bank_angle': 0, 'start_altitude': 5000, 'heading_change': 0}
2019-10-06 17:32:52,240 - xplane-remote#fly - INFO - {'climb_rate': 300, 'climb': -100, 'bank_angle': 0, 'start_altitude': 5000, 'heading_change': 0}
2019-10-06 17:33:35,465 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': 100, 'bank_angle': 0, 'start_altitude': 5000, 'heading_change': 0}
2019-10-06 17:34:12,686 - xplane-remote#fly - INFO - {'climb_rate': 400, 'climb': -100, 'bank_angle': 0, 'start_altitude': 5000, 'heading_change': 0}
2019-10-06 17:34:49,676 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': 100, 'bank_angle': 0, 'start_altitude': 5000, 'heading_change': 0}
2019-10-06 17:35:37,478 - xplane-remote#fly - INFO - {'climb_rate': 500, 'climb': -100, 'bank_angle': 0, 'start_altitude': 5000, 'heading_change': 0}
2019-10-06 17:36:12,095 - xplane-remote#close_xp_remote - DEBUG - Shutdown Server.
2019-10-06 17:36:12,097 - xplane-remote#close_xp_remote - DEBUG - Server shutdown.
