2019-10-07 18:45:55,898 - xplane-remote#init_xp_remote - DEBUG - Start Server.
2019-10-07 18:45:55,911 - xplane-remote#init_xp_remote - DEBUG - Server started.
2019-10-07 18:45:55,912 - xplane-remote#trainings_set02 - INFO - run trainings_set02
2019-10-07 18:45:55,913 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 1}
2019-10-07 18:48:07,508 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 1}
2019-10-07 18:50:16,273 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 2}
2019-10-07 18:51:25,925 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 2}
2019-10-07 18:52:34,496 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 3}
2019-10-07 18:53:27,125 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 3}
2019-10-07 18:54:16,356 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 4}
2019-10-07 18:55:04,032 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 4}
2019-10-07 18:55:46,468 - xplane-remote#fly - INFO - {'start_altitude': 1500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 1}
2019-10-07 18:57:44,494 - xplane-remote#fly - INFO - {'start_altitude': 1500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 1}
2019-10-07 19:00:06,864 - xplane-remote#fly - INFO - {'start_altitude': 1500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 2}
2019-10-07 19:01:17,217 - xplane-remote#fly - INFO - {'start_altitude': 1500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 2}
2019-10-07 19:02:39,534 - xplane-remote#fly - INFO - {'start_altitude': 1500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 3}
2019-10-07 19:03:39,209 - xplane-remote#fly - INFO - {'start_altitude': 1500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 3}
2019-10-07 19:04:43,733 - xplane-remote#fly - INFO - {'start_altitude': 1500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 4}
2019-10-07 19:05:41,319 - xplane-remote#fly - INFO - {'start_altitude': 1500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 4}
2019-10-07 19:06:40,100 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 1}
2019-10-07 19:09:56,975 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 1}
2019-10-07 19:12:06,923 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 2}
2019-10-07 19:13:22,902 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 2}
2019-10-07 19:14:41,002 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 3}
2019-10-07 19:15:43,955 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 3}
2019-10-07 19:16:49,415 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 4}
