2019-10-09 07:55:55,192 - xplane-remote#init_xp_remote - DEBUG - Start Server.
2019-10-09 07:55:55,204 - xplane-remote#init_xp_remote - DEBUG - Server started.
2019-10-09 07:55:55,206 - xplane-remote#trainings_set04 - INFO - run trainings_set02
2019-10-09 07:55:55,208 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 400, 'heading_change': 30.0, 'bank_angle': 3}
2019-10-09 07:56:48,301 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 400, 'heading_change': -30.0, 'bank_angle': 3}
2019-10-09 07:58:30,400 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 400, 'heading_change': 30.0, 'bank_angle': 4}
2019-10-09 07:59:21,467 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 400, 'heading_change': -30.0, 'bank_angle': 4}
2019-10-09 08:01:09,574 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 500, 'heading_change': 30.0, 'bank_angle': 3}
2019-10-09 08:01:57,633 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 500, 'heading_change': -30.0, 'bank_angle': 3}
2019-10-09 08:02:44,678 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 500, 'heading_change': 30.0, 'bank_angle': 4}
2019-10-09 08:03:30,735 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 500, 'heading_change': -30.0, 'bank_angle': 4}
2019-10-09 08:04:16,778 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 600, 'heading_change': 30.0, 'bank_angle': 3}
2019-10-09 08:07:13,052 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 600, 'heading_change': -30.0, 'bank_angle': 3}
2019-10-09 08:07:59,123 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 600, 'heading_change': 30.0, 'bank_angle': 4}
2019-10-09 08:09:37,833 - xplane-remote#fly - INFO - {'start_altitude': 1000, 'climb': -100, 'climb_rate': 600, 'heading_change': -30.0, 'bank_angle': 4}
2019-10-09 08:10:37,885 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 400, 'heading_change': 30.0, 'bank_angle': 3}
2019-10-09 08:13:07,105 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 400, 'heading_change': -30.0, 'bank_angle': 3}
2019-10-09 08:14:10,202 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 400, 'heading_change': 30.0, 'bank_angle': 4}
2019-10-09 08:15:21,279 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 400, 'heading_change': -30.0, 'bank_angle': 4}
2019-10-09 08:16:24,361 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 500, 'heading_change': 30.0, 'bank_angle': 3}
2019-10-09 08:19:32,729 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 500, 'heading_change': -30.0, 'bank_angle': 3}
2019-10-09 08:20:32,775 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 500, 'heading_change': 30.0, 'bank_angle': 4}
2019-10-09 08:23:15,934 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 500, 'heading_change': -30.0, 'bank_angle': 4}
2019-10-09 08:24:43,016 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 600, 'heading_change': 30.0, 'bank_angle': 3}
2019-10-09 08:25:33,063 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 600, 'heading_change': -30.0, 'bank_angle': 3}
2019-10-09 08:28:37,245 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 600, 'heading_change': 30.0, 'bank_angle': 4}
2019-10-09 08:31:21,443 - xplane-remote#fly - INFO - {'start_altitude': 2000, 'climb': -100, 'climb_rate': 600, 'heading_change': -30.0, 'bank_angle': 4}
