2019-10-14 15:32:11,244 - xplane-remote#init_xp_remote - DEBUG - Start Server.
2019-10-14 15:32:11,263 - xplane-remote#init_xp_remote - DEBUG - Server started.
2019-10-14 15:32:11,266 - xplane-remote#trainings_set05 - INFO - run trainings_set05
2019-10-14 15:32:11,268 - xplane-remote#fly - INFO - {'start_altitude': 1250, 'climb': -100, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:33:58,402 - xplane-remote#fly - INFO - {'start_altitude': 1250, 'climb': -100, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:34:46,467 - xplane-remote#fly - INFO - {'start_altitude': 1250, 'climb': -100, 'climb_rate': 500, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:35:32,518 - xplane-remote#fly - INFO - {'start_altitude': 1250, 'climb': -100, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:36:16,576 - xplane-remote#fly - INFO - {'start_altitude': 1750, 'climb': -100, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:38:45,769 - xplane-remote#fly - INFO - {'start_altitude': 1750, 'climb': -100, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:39:41,844 - xplane-remote#fly - INFO - {'start_altitude': 1750, 'climb': -100, 'climb_rate': 500, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:40:27,889 - xplane-remote#fly - INFO - {'start_altitude': 1750, 'climb': -100, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:41:11,949 - xplane-remote#fly - INFO - {'start_altitude': 2250, 'climb': -100, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:43:25,096 - xplane-remote#fly - INFO - {'start_altitude': 2250, 'climb': -100, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-14 15:44:14,158 - xplane-remote#fly - INFO - {'start_altitude': 2250, 'climb': -100, 'climb_rate': 500, 'heading_change': 0, 'bank_angle': 0}
