2019-10-17 09:35:19,983 - xplane-remote#init_xp_remote - DEBUG - Start Server.
2019-10-17 09:35:19,988 - xplane-remote#init_xp_remote - DEBUG - Server started.
2019-10-17 09:35:19,989 - xplane-remote#trainings_set06 - INFO - run trainings_set06
2019-10-17 09:35:19,996 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:35:49,030 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:36:37,101 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:37:05,141 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:37:53,198 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:38:21,223 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:39:09,290 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:39:37,326 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:40:25,400 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:40:53,426 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:41:41,498 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:42:09,529 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:42:57,595 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -600, 'climb_rate': 300, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:45:05,778 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:45:28,810 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:46:08,861 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:46:33,884 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:47:13,920 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:47:38,949 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:48:18,999 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 09:48:44,038 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 400, 'heading_change': 0, 'bank_angle': 0}
